Date,Last,diff_24h,diff_per_24h,Open,High,Low,Close,Volume
2019/4/12,5064.49 ,25.05,0.494620386,5061.2,5103.27,4955.85,5089.54,13675206312
2019/4/13,5089.54 ,7.05,0.138519395,5088.85,5127.12,5061.59,5096.59,10823289598
2019/4/14,5096.59 ,71.13,1.395639045,5095.76,5184.02,5053.57,5167.72,10391952498
2019/4/15,5167.72 ,-100.61,-1.946893408,5167.32,5196.61,5024.07,5067.11,12290155061
2019/4/16,5067.11 ,168.45,3.324380169,5066.58,5238.95,5055.19,5235.56,11618660197
2019/4/17,5235.56 ,16.38,0.312860515,5236.14,5274.28,5219.21,5251.94,12438480677
2019/4/18,5251.94 ,46.45,0.884435085,5251.48,5319.99,5250.51,5298.39,13256489918
2019/4/19,5298.39 ,5.42,0.102295226,5298.15,5336.68,5233.34,5303.81,13780238655
2019/4/20,5303.81 ,34.08,0.642556954,5304.16,5358.49,5295.88,5337.89,13169647522
2019/4/21,5337.89 ,-23.36,-0.437626103,5335.88,5359.93,5257.34,5314.53,13731844223
2019/4/22,5314.53 ,84.84,1.596378231,5312.49,5422.69,5280.28,5399.37,14601631648
2019/4/23,5399.37 ,172.99,3.203892306,5399.37,5633.8,5389.41,5572.36,15867308108
2019/4/24,5572.36 ,-107.49,-1.928985206,5571.51,5642.04,5418.26,5464.87,17048033399
2019/4/25,5464.87 ,-254.35,-4.654273569,5466.52,5542.24,5181.34,5210.52,15330283408
2019/4/26,5210.52 ,68.83,1.320981399,5210.3,5383.63,5177.37,5279.35,16812108040
2019/4/27,5279.35 ,-11.06,-0.209495487,5279.47,5310.75,5233.64,5268.29,13111274675
2019/4/28,5268.29 ,16.85,0.319838126,5271.75,5326.23,5255.68,5285.14,12819992056
2019/4/29,5285.14 ,-37.79,-0.715023632,5284.86,5311.27,5216.49,5247.35,13735490672
2019/4/30,5247.35 ,103.38,1.970137307,5247.73,5363.26,5224.19,5350.73,13878964574
2019/5/1,5350.73 ,51.97,0.971269341,5350.91,5418,5347.65,5402.7,13679528236
2019/5/2,5402.70 ,102.58,1.898680289,5402.42,5522.26,5394.22,5505.28,14644460907
2019/5/3,5505.28 ,263.01,4.777413683,5505.55,5865.88,5490.2,5768.29,18720780006
2019/5/4,5768.29 ,62.88,1.090097759,5769.2,5886.89,5645.47,5831.17,17567780766
2019/5/5,5831.17 ,-35.46,-0.608111237,5831.07,5833.86,5708.04,5795.71,14808830723
